10:28:18.493: Getting: Dealer 40: Auto 1 (Accessory: 270001 Carcass: 1 Engine: 1) by Worker 30
10:28:18.900: Getting: Dealer 42: Auto 2 (Accessory: 250002 Carcass: 2 Engine: 2) by Worker 35
10:28:19.856: Getting: Dealer 43: Auto 3 (Accessory: 260003 Carcass: 3 Engine: 3) by Worker 37
10:28:20.856: Getting: Dealer 41: Auto 4 (Accessory: 280004 Carcass: 4 Engine: 4) by Worker 29
10:28:21.872: Getting: Dealer 39: Auto 5 (Accessory: 240005 Carcass: 5 Engine: 5) by Worker 33
10:28:33.507: Getting: Dealer 40: Auto 6 (Accessory: 270006 Carcass: 6 Engine: 6) by Worker 38
10:28:33.918: Getting: Dealer 42: Auto 7 (Accessory: 250007 Carcass: 7 Engine: 7) by Worker 32
10:28:34.867: Getting: Dealer 43: Auto 8 (Accessory: 260008 Carcass: 8 Engine: 8) by Worker 36
10:28:35.867: Getting: Dealer 41: Auto 9 (Accessory: 280009 Carcass: 9 Engine: 9) by Worker 31
10:28:36.884: Getting: Dealer 39: Auto 10 (Accessory: 240010 Carcass: 10 Engine: 10) by Worker 34
10:28:48.521: Getting: Dealer 40: Auto 11 (Accessory: 270011 Carcass: 11 Engine: 11) by Worker 30
10:28:48.933: Getting: Dealer 42: Auto 12 (Accessory: 250012 Carcass: 12 Engine: 12) by Worker 35
10:28:49.881: Getting: Dealer 43: Auto 13 (Accessory: 260013 Carcass: 13 Engine: 13) by Worker 37
10:28:50.879: Getting: Dealer 41: Auto 14 (Accessory: 280014 Carcass: 14 Engine: 14) by Worker 29
10:28:51.897: Getting: Dealer 39: Auto 15 (Accessory: 240015 Carcass: 15 Engine: 15) by Worker 33
10:29:03.526: Getting: Dealer 40: Auto 16 (Accessory: 270016 Carcass: 16 Engine: 16) by Worker 38
10:29:03.942: Getting: Dealer 42: Auto 17 (Accessory: 250017 Carcass: 17 Engine: 17) by Worker 32
10:29:04.894: Getting: Dealer 43: Auto 18 (Accessory: 260018 Carcass: 18 Engine: 18) by Worker 36
10:29:05.890: Getting: Dealer 41: Auto 19 (Accessory: 280019 Carcass: 19 Engine: 19) by Worker 31
10:29:06.905: Getting: Dealer 39: Auto 20 (Accessory: 240020 Carcass: 20 Engine: 20) by Worker 34
